STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
"Nevada
NEV",15,3,0.833,1522,1346,29,8,0.784,3055,2703,L1,84.55555555555556,74.77777777777777,82.56756756756756,73.05405405405405,14,1,12,3,3,4,1,1,69
"Boise State
BSU",13,5,0.722,1425,1281,23,9,0.7190000000000001,2502,2210,L2,79.16666666666667,71.16666666666667,78.1875,69.0625,15,1,6,6,2,2,0,1,36
"New Mexico
UN",12,6,0.667,1507,1418,19,15,0.5589999999999999,2795,2641,L1,83.72222222222223,78.77777777777777,82.20588235294117,77.67647058823529,13,4,4,8,2,3,0,1,5
"San Diego State
SDSU",11,7,0.611,1383,1261,22,11,0.667,2545,2240,L1,76.83333333333333,70.05555555555556,77.12121212121212,67.87878787878788,13,2,4,7,5,2,3,2,66
"Fresno State
FRESN",11,7,0.611,1357,1282,21,11,0.6559999999999999,2459,2201,L2,75.3888888888889,71.22222222222223,76.84375,68.78125,12,5,8,4,1,2,0,0,252
Wyoming,10,8,0.556,1479,1472,20,13,0.606,2633,2597,L1,82.16666666666667,81.77777777777777,79.78787878787878,78.6969696969697,12,4,5,7,3,2,1,1,285
"UNLV
UNLV",8,10,0.444,1397,1449,20,13,0.606,2753,2577,L1,77.6111111111111,80.5,83.42424242424242,78.0909090909091,11,7,5,6,4,0,1,2,58
"Utah State
USU",8,10,0.444,1304,1347,17,17,0.5,2489,2466,L1,72.44444444444444,74.83333333333333,73.20588235294117,72.52941176470588,11,4,2,11,4,2,0,2,7
Air Force,6,12,0.33299999999999996,1204,1324,12,19,0.387,2124,2244,L1,66.8888888888889,73.55555555555556,68.51612903225806,72.38709677419354,9,7,3,11,0,1,0,0,60
"Colorado State
CSU",4,14,0.222,1332,1481,11,21,0.344,2314,2537,L5,74.0,82.27777777777777,72.3125,79.28125,8,8,3,10,0,3,0,1,22
"San Jose State
SJSU",1,17,0.055999999999999994,1175,1424,4,26,0.133,1974,2260,L2,65.27777777777777,79.1111111111111,65.8,75.33333333333333,3,11,1,14,0,1,0,2,174
