STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
"Charleston
COLC",14,4,0.778,1412,1305,26,8,0.765,2536,2331,L1,78.44444444444444,72.5,74.58823529411767,68.55882352941177,14,0,8,6,4,2,0,2,136
"Northeastern
NEASTN",14,4,0.778,1387,1264,23,10,0.6970000000000001,2472,2270,L1,77.05555555555556,70.22222222222223,74.9090909090909,68.78787878787878,12,2,9,5,2,3,0,0,88
Hofstra,12,6,0.667,1443,1375,19,12,0.613,2464,2397,L1,80.16666666666667,76.3888888888889,79.48387096774194,77.3225806451613,9,4,9,4,1,4,0,1,19
"William & Mary
W",11,7,0.611,1526,1489,19,12,0.613,2636,2531,L1,84.77777777777777,82.72222222222223,85.03225806451613,81.64516129032258,11,3,7,8,1,1,0,1,40
"Towson
TOWSON",8,10,0.444,1399,1360,18,14,0.563,2446,2279,L4,77.72222222222223,75.55555555555556,76.4375,71.21875,9,4,4,9,5,1,0,0,145
"UNCW
UNCW",7,11,0.389,1422,1456,11,21,0.344,2542,2668,L1,79.0,80.8888888888889,79.4375,83.375,8,5,2,11,1,5,0,0,87
"Elon
ELON",6,12,0.33299999999999996,1314,1408,14,18,0.43799999999999994,2346,2437,L7,73.0,78.22222222222223,73.3125,76.15625,8,5,4,12,2,1,0,1,127
Delaware,6,12,0.33299999999999996,1238,1325,14,19,0.424,2338,2428,L1,68.77777777777777,73.6111111111111,70.84848484848484,73.57575757575758,7,8,4,10,3,1,0,1,42
Drexel,6,12,0.33299999999999996,1394,1503,13,20,0.39399999999999996,2454,2591,L1,77.44444444444444,83.5,74.36363636363636,78.51515151515152,9,5,2,12,2,3,0,0,100
"James Madison
JMU",6,12,0.33299999999999996,1302,1352,10,22,0.313,2341,2414,L1,72.33333333333333,75.1111111111111,73.15625,75.4375,7,7,3,11,0,4,0,0,146
