STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
"Murray State
MURRS",16,2,0.889,1407,1179,26,6,0.813,2515,2117,L1,78.16666666666667,65.5,78.59375,66.15625,14,2,10,3,2,1,0,1,72
"Belmont
BE",15,3,0.833,1431,1195,24,9,0.727,2562,2284,L1,79.5,66.3888888888889,77.63636363636364,69.21212121212122,14,2,9,6,1,1,0,1,13
"Austin Peay
APSU",12,6,0.667,1341,1307,19,15,0.5589999999999999,2512,2446,L1,74.5,72.6111111111111,73.88235294117645,71.94117647058823,13,5,5,9,1,1,0,0,31
"Jacksonville St
JSU",11,7,0.611,1218,1169,23,13,0.639,2587,2369,L1,67.66666666666667,64.94444444444444,71.8611111111111,65.80555555555556,12,4,9,8,2,1,0,0,89
"Tennessee Tech
TNTE",10,8,0.556,1246,1291,19,14,0.5760000000000001,2413,2388,L1,69.22222222222223,71.72222222222223,73.12121212121212,72.36363636363636,11,3,5,10,3,1,0,0,269
"Tennessee State
TENNS",10,8,0.556,1211,1190,15,15,0.5,1997,2010,L4,67.27777777777777,66.1111111111111,66.56666666666666,67.0,9,5,6,9,0,1,0,2,56
"SE Missouri State
SEMOS",8,10,0.444,1382,1424,14,17,0.452,2355,2413,L2,76.77777777777777,79.1111111111111,75.96774193548387,77.83870967741936,7,7,6,9,1,1,0,0,239
"Eastern Illinois
EIU",7,11,0.389,1165,1241,12,19,0.387,2065,2120,L1,64.72222222222223,68.94444444444444,66.61290322580646,68.38709677419354,7,6,4,12,1,1,0,0,97
"Eastern Kentucky
EKU",5,13,0.278,1284,1379,11,20,0.355,2230,2371,L1,71.33333333333333,76.6111111111111,71.93548387096773,76.48387096774194,6,7,5,11,0,2,0,0,74
"UT Martin
U",5,13,0.278,1155,1251,10,21,0.32299999999999995,2135,2253,W1,64.16666666666667,69.5,68.87096774193549,72.6774193548387,5,9,5,12,0,0,0,0,171
"SIUE
SIUE",5,13,0.278,1255,1381,9,21,0.3,2090,2362,L4,69.72222222222223,76.72222222222223,69.66666666666667,78.73333333333333,4,9,5,11,0,1,0,1,212
"Morehead State
MORE",4,14,0.222,1232,1320,8,21,0.276,2043,2204,W2,68.44444444444444,73.33333333333333,70.44827586206897,76.0,7,6,1,15,0,0,0,1,158
