STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
"UC Davis
UC",12,4,0.75,1210,1129,22,11,0.667,2386,2241,L2,75.625,70.5625,72.3030303030303,67.9090909090909,10,2,9,7,3,2,0,0,114
"UC Santa Barbara
UCS",11,5,0.688,1188,1098,23,9,0.7190000000000001,2425,2211,L1,74.25,68.625,75.78125,69.09375,12,2,9,6,2,1,0,1,183
"UC Irvine
UC",11,5,0.688,1123,991,18,17,0.514,2440,2350,L1,70.1875,61.9375,69.71428571428571,67.14285714285714,7,5,7,10,4,2,0,1,85
"CS Fullerton
CS",10,6,0.625,1189,1138,20,12,0.625,2318,2245,L1,74.3125,71.125,72.4375,70.15625,10,4,7,7,3,1,0,3,255
"Long Beach State
LBSU",9,7,0.563,1226,1196,15,18,0.455,2485,2586,L1,76.625,74.75,75.3030303030303,78.36363636363636,8,5,6,10,1,3,0,2,124
Hawaii,8,8,0.5,1094,1089,17,13,0.5670000000000001,2104,2071,L1,68.375,68.0625,70.13333333333334,69.03333333333333,13,7,4,5,0,1,0,1,272
"Cal Poly
C",4,12,0.25,1094,1247,9,22,0.29,2082,2302,L3,68.375,77.9375,67.16129032258064,74.25806451612904,7,6,1,13,1,3,0,0,330
"UC Riverside
UC",4,12,0.25,1006,1102,9,22,0.29,2024,2163,L2,62.875,68.875,65.29032258064517,69.7741935483871,6,8,3,13,0,1,0,0,154
"CSUN
CSUN",3,13,0.188,1037,1177,6,24,0.2,1983,2206,L5,64.8125,73.5625,66.1,73.53333333333333,4,9,2,13,0,2,0,0,29
