STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
"UNCG
UNCGRN",15,3,0.833,1338,1162,27,8,0.7709999999999999,2562,2189,L1,74.33333333333333,64.55555555555556,75.3529411764706,62.542857142857144,16,1,8,6,3,1,0,1,79
"E Tennessee State
ETN",14,4,0.778,1370,1184,25,9,0.735,2556,2241,L1,76.1111111111111,65.77777777777777,73.02857142857142,65.91176470588235,12,4,11,4,2,1,0,2,44
"Furman
FURMAN",13,5,0.722,1433,1220,23,10,0.6970000000000001,2619,2260,L1,79.6111111111111,67.77777777777777,84.48387096774194,68.48484848484848,13,3,7,6,3,1,0,2,8
Wofford,11,7,0.611,1367,1288,21,13,0.618,2578,2405,L2,75.94444444444444,71.55555555555556,88.89655172413794,70.73529411764707,12,5,7,7,2,1,1,0,103
"Mercer
MERC",11,7,0.611,1311,1241,19,15,0.5589999999999999,2561,2373,L1,72.83333333333333,68.94444444444444,77.60606060606061,69.79411764705883,11,3,7,9,1,3,0,0,95
"Western Carolina
WCU",8,10,0.444,1208,1304,13,19,0.406,2190,2419,L1,67.1111111111111,72.44444444444444,60.83333333333334,75.59375,8,5,3,12,2,2,0,3,93
"Samford
SAM",6,12,0.33299999999999996,1443,1532,10,22,0.313,2483,2639,L2,80.16666666666667,85.1111111111111,65.34210526315789,82.46875,8,6,2,15,0,1,0,0,23
"Citadel
CI",5,13,0.278,1456,1597,11,21,0.344,2639,2819,L1,80.8888888888889,88.72222222222223,79.96969696969697,88.09375,7,8,3,12,1,1,0,0,94
"VMI
VMI",4,14,0.222,1120,1362,9,21,0.3,1954,2214,L1,62.22222222222222,75.66666666666667,55.828571428571436,73.8,6,8,3,12,0,1,0,0,51
"Chattanooga
UTC",3,15,0.16699999999999998,1238,1394,10,23,0.303,2289,2424,L1,68.77777777777777,77.44444444444444,58.69230769230769,73.45454545454545,8,8,1,14,1,1,0,0,111
