STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
Virginia,17,1,0.9440000000000001,1154,955,31,3,0.912,2283,1836,L1,64.1111111111111,53.055555555555564,67.14705882352939,54.0,16,1,10,1,5,1,5,1,349
Duke,13,5,0.722,1421,1219,29,8,0.784,3121,2576,L1,78.94444444444444,67.72222222222223,84.35135135135134,69.62162162162164,15,1,6,5,8,2,6,4,27
Clemson,11,7,0.611,1255,1208,25,10,0.7140000000000001,2584,2307,L1,69.72222222222223,67.1111111111111,73.82857142857142,65.91428571428571,15,1,4,6,6,3,4,5,299
North Carolina,11,7,0.611,1452,1360,26,11,0.703,3018,2711,L1,80.66666666666667,75.55555555555556,81.56756756756756,73.27027027027026,12,3,7,5,7,3,5,6,281
Miami (FL),11,7,0.611,1328,1319,22,10,0.688,2361,2173,L2,73.77777777777777,73.27777777777777,73.78125,67.90625,11,3,8,4,3,3,3,4,256
North Carolina St,11,7,0.611,1394,1382,21,12,0.636,2682,2477,L2,77.44444444444444,76.77777777777777,81.27272727272727,75.06060606060606,16,3,4,5,1,4,5,3,104
Virginia Tech,10,8,0.556,1299,1311,21,12,0.636,2634,2382,L3,72.16666666666667,72.83333333333333,79.81818181818181,72.18181818181819,14,4,6,5,1,3,4,3,182
Florida State,9,9,0.5,1440,1450,23,12,0.657,2806,2551,L1,80.0,80.55555555555556,80.17142857142858,72.88571428571429,13,2,4,7,6,3,5,5,193
Louisville,9,9,0.5,1369,1314,22,14,0.611,2721,2533,L1,76.05555555555556,73.0,75.58333333333333,70.3611111111111,16,6,4,7,2,1,1,7,134
Syracuse,8,10,0.444,1161,1173,23,14,0.622,2466,2360,L1,64.5,65.16666666666667,66.64864864864866,63.78378378378378,14,5,4,6,5,3,2,8,155
Notre Dame,8,10,0.444,1273,1258,21,15,0.583,2698,2471,L1,70.72222222222223,69.8888888888889,74.94444444444444,68.6388888888889,11,6,5,7,5,2,1,7,196
Boston College,7,11,0.389,1343,1398,19,16,0.5429999999999999,2673,2610,L2,74.6111111111111,77.66666666666667,76.37142857142857,74.57142857142857,14,3,2,11,3,2,2,4,305
Georgia Tech,6,12,0.33299999999999996,1144,1247,13,19,0.406,2101,2172,L1,63.555555555555564,69.27777777777777,65.65625,67.875,12,7,1,10,0,2,1,7,263
Wake Forest,4,14,0.222,1265,1361,11,20,0.355,2273,2305,L3,70.27777777777777,75.6111111111111,73.3225806451613,74.35483870967742,7,9,3,8,1,3,0,7,247
Pittsburgh,0,18,0.0,1012,1355,8,24,0.25,1985,2316,L19,56.22222222222222,75.27777777777777,62.03125,72.375,7,11,0,10,1,3,0,7,274
