STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
Penn,12,2,0.857,1068,967,24,9,0.727,2506,2274,L1,76.28571428571429,69.07142857142857,75.93939393939394,68.9090909090909,13,3,9,4,2,2,0,2,335
Harvard,12,2,0.857,1020,920,18,14,0.563,2182,2129,L2,72.85714285714286,65.71428571428571,68.1875,66.53125,10,1,6,12,2,1,0,2,321
Yale,9,5,0.643,1034,1006,16,15,0.516,2312,2288,L1,73.85714285714286,71.85714285714286,74.5806451612903,73.80645161290323,9,3,7,12,0,0,0,1,189
Cornell,6,8,0.429,1066,1127,12,16,0.429,2124,2250,L1,76.14285714285714,80.5,75.85714285714286,80.35714285714286,8,4,4,11,0,1,0,0,352
Princeton,5,9,0.35700000000000004,1040,1049,13,16,0.44799999999999995,2106,2083,L1,74.28571428571429,74.92857142857143,72.6206896551724,71.82758620689657,7,5,5,9,1,2,0,1,348
Columbia,5,9,0.35700000000000004,1089,1094,8,19,0.29600000000000004,2062,2085,L3,77.78571428571429,78.14285714285714,76.37037037037038,77.22222222222223,7,5,1,14,0,0,0,1,324
Brown,4,10,0.28600000000000003,1064,1137,11,16,0.40700000000000003,2080,2133,L6,76.0,81.21428571428571,77.03703703703705,79.0,8,5,3,11,0,0,0,0,346
Dartmouth,3,11,0.214,905,986,7,20,0.259,1841,1970,L1,64.64285714285714,70.42857142857143,68.18518518518519,72.96296296296295,6,6,1,14,0,0,0,0,350
