STA18_Team,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Conf_PF,STA18_Conf_PA,STA18_W,STA18_L,STA18_Pct,STA18_PF,STA18_PA,STA18_Strk,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PPG,STA18_PAPG,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA18_Top25_W,STA18_Top25_L,TeamID
"FGCU
FGCU",12,2,0.857,1153,958,23,12,0.657,2847,2515,L2,82.35714285714286,68.42857142857143,81.34285714285714,71.85714285714286,14,6,9,6,0,0,0,1,245
"Lipscomb
LIPSC",10,4,0.7140000000000001,1203,1142,23,10,0.6970000000000001,2708,2564,L1,85.92857142857143,81.57142857142857,82.06060606060606,77.6969696969697,13,2,10,7,0,1,0,3,139
"Jacksonville
JKSN",8,6,0.5710000000000001,1001,1031,15,18,0.455,2405,2482,L1,71.5,73.64285714285714,72.87878787878788,75.21212121212122,10,6,3,12,2,0,0,0,177
"NJIT
NJIT",7,7,0.5,1043,1032,14,16,0.467,2248,2197,L1,74.5,73.71428571428571,74.93333333333334,73.23333333333333,10,7,4,9,0,0,0,2,303
"North Florida
UNF",7,7,0.5,1191,1222,14,19,0.424,2668,2873,L1,85.07142857142857,87.2857142857143,80.84848484848484,87.06060606060606,10,2,4,16,0,1,0,3,11
"Kennesaw State
KENNST",6,8,0.429,1068,1069,10,20,0.33299999999999996,2182,2328,L3,76.28571428571429,76.35714285714286,72.73333333333333,77.6,8,6,2,14,0,0,0,1,337
"Stetson
STETSN",4,10,0.28600000000000003,1056,1123,12,20,0.375,2412,2496,L2,75.42857142857143,80.21428571428571,75.375,78.0,7,9,5,11,0,0,0,0,207
"USC Upstate
USCU",2,12,0.14300000000000002,1117,1255,7,25,0.21899999999999997,2424,2723,L5,79.78571428571429,89.64285714285714,75.75,85.09375,6,7,0,17,1,1,0,2,192
