PS18_Rnk,PS18_Team,TeamID
1,Duke,27
2,Michigan State,78
3,Arizona,81
4,Kansas,169
5,Kentucky,190
6,Villanova,208
7,Wichita State,148
8,Florida,219
9,North Carolina,281
10,USC,152
11,West Virginia,232
12,Cincinnati,166
13,Miami (FL,256
14,Notre Dame,196
15,Minnesota,181
16,Louisville,134
17,Xavier,195
18,Gonzaga,1
19,Northwestern,317
20,Purdue,203
21,UCLA,238
22,Saint Mary's,18
23,Seton Hall,117
24,Baylor,298
25,Texas A&M,343
