TS18_Team,TS18_GP,TS18_PTS,TS18_FG%,TS18_3P%,TS18_FT%,TS18_FGM,TS18_FGA,TS18_3PM,TS18_3PA,TS18_FTM,TS18_FTA,TeamID
Villanova,34,2960,0.504,0.39799999999999996,0.7709999999999999,1055,2092,388,975,462,599,208
South Dakota State,34,2885,0.47,0.40299999999999997,0.76,979,2084,361,896,566,745,2
Buffalo,34,2883,0.474,0.371,0.6970000000000001,1045,2206,329,887,464,666,20
Gonzaga,34,2873,0.503,0.374,0.722,1049,2085,309,826,466,645,1
North Carolina,35,2869,0.46,0.364,0.741,1048,2279,290,796,483,652,281
Marshall,34,2865,0.469,0.354,0.767,992,2116,341,963,540,704,73
Portland State,33,2833,0.445,0.341,0.7020000000000001,1011,2273,295,864,516,735,17
Nevada,34,2825,0.46799999999999997,0.39799999999999996,0.747,963,2056,330,830,569,762,69
Duke,33,2795,0.493,0.37799999999999995,0.708,1008,2044,274,725,505,713,27
New Mexico,34,2795,0.455,0.375,0.777,939,2065,367,979,550,708,5
Xavier,33,2781,0.491,0.369,0.79,953,1942,258,699,617,781,195
Florida Gulf Coast,34,2779,0.49700000000000005,0.363,0.742,1022,2057,244,672,491,662,245
Kansas,34,2771,0.498,0.40299999999999997,0.7,1024,2058,345,857,378,540,169
Bucknell,34,2759,0.47200000000000003,0.34299999999999997,0.718,942,1995,269,784,606,844,185
Purdue,34,2759,0.49700000000000005,0.42,0.743,958,1928,326,776,517,696,203
Stephen F. Austin,34,2759,0.488,0.37200000000000005,0.705,982,2012,237,637,558,791,37
Arkansas,34,2757,0.47700000000000004,0.401,0.6779999999999999,985,2063,265,661,522,770,220
South Dakota,34,2755,0.48,0.364,0.754,991,2066,237,651,536,711,12
Savannah St,32,2754,0.4,0.3,0.696,940,2350,391,1304,483,694,
Louisiana,33,2753,0.46799999999999997,0.36700000000000005,0.7609999999999999,944,2018,290,790,575,756,150
UNLV,33,2753,0.489,0.33399999999999996,0.705,978,2000,185,554,612,868,58
Arizona,34,2750,0.505,0.377,0.76,980,1939,235,624,555,730,81
Northern Colorado,34,2740,0.467,0.35600000000000004,0.695,983,2104,294,826,480,691,293
West Virginia,34,2707,0.434,0.353,0.7659999999999999,944,2176,299,847,520,679,232
Creighton,32,2697,0.49700000000000005,0.376,0.747,985,1982,334,889,393,526,38
Hampton,34,2697,0.45299999999999996,0.319,0.773,964,2130,194,609,575,744,71
Toledo,34,2687,0.467,0.401,0.737,913,1953,327,815,534,725,82
Niagara,32,2683,0.44799999999999995,0.365,0.7290000000000001,918,2050,269,736,578,793,311
Michigan State,33,2672,0.504,0.413,0.7509999999999999,943,1872,277,671,509,678,78
Auburn,32,2668,0.439,0.366,0.7859999999999999,868,1977,312,852,620,789,129
Central Arkansas,33,2668,0.455,0.363,0.736,921,2025,273,753,553,751,131
North Florida,33,2668,0.456,0.37799999999999995,0.76,939,2058,357,945,433,570,11
Western Kentucky,34,2665,0.493,0.355,0.71,959,1944,185,521,562,792,98
TCU,32,2656,0.499,0.4,0.708,960,1925,271,677,465,657,291
Wichita State,32,2656,0.478,0.385,0.738,930,1944,292,758,504,683,148
Lipscomb,32,2642,0.456,0.331,0.715,901,1976,260,785,580,811,139
Nicholls,32,2641,0.47200000000000003,0.35700000000000004,0.7170000000000001,941,1994,260,729,499,696,48
Oklahoma,31,2640,0.46399999999999997,0.363,0.748,925,1993,296,816,494,660,251
Texas Southern,34,2640,0.441,0.363,0.7190000000000001,878,1989,266,732,618,860,273
The Citadel,32,2639,0.414,0.341,0.706,889,2148,386,1133,475,673,94
William & Mary,31,2636,0.511,0.434,0.81,910,1782,337,777,479,591,40
Iona,33,2635,0.462,0.38799999999999996,0.7390000000000001,931,2017,319,822,452,612,351
Long Island University,34,2635,0.457,0.345,0.696,916,2005,272,789,531,763,28
Wyoming,33,2633,0.446,0.345,0.738,873,1959,304,881,583,790,285
Iowa,33,2630,0.479,0.375,0.695,946,1975,252,672,486,699,50
