Team,Seed,Opponent,OppSeed,PF,PA,WL,TeamID,OppTeamID
St. Bonaventure,11,UCLA,11,65,58,W,261,238
Long Island,16,Radford,16,61,71,L,28,237
Syracuse,11,Arizona St.,11,60,56,W,155,235
Texas Southern,16,N.C. Central,16,64,46,W,273,266
Penn,16,Kansas,1,60,76,L,335,169
Radford,16,Villanova,1,61,87,L,237,208
Iona,15,Duke,2,67,89,L,351,27
Wright St.,14,Tennessee,3,47,73,L,3,318
Stephen F. Austin,14,Texas Tech,3,60,70,L,37,242
Montana,14,Michigan,3,47,61,L,304,160
UNC Greensboro,13,Gonzaga,4,64,68,L,79,1
Buffalo,13,Arizona,4,89,68,W,20,81
South Dakota St.,12,Ohio St.,5,73,81,L,2,163
Davidson,12,Kentucky,5,73,78,L,280,180
Loyola (IL),11,Miami (FL),6,64,62,W,157,256
San Diego St.,11,Houston,6,65,67,L,66,130
St. Bonaventure,11,Florida,6,62,77,L,261,218
Oklahoma,10,Rhode Island,7,78,83,L,251,227
North Carolina St.,9,Seton Hall,8,83,94,L,104,117
Alabama,9,Virginia Tech,8,86,83,W,65,182
Texas Southern,16,Xavier,1,83,102,W,273,185
UMBC,16,Virginia,1,74,54,W,162,349
Cal St. Fullerton,15,Purdue,2,48,74,L,255,203
Georgia St.,15,Cincinnati,2,53,68,L,24,166
Lipscomb,15,North Carolina,2,66,84,L,139,281
Bucknell,14,Michigan St.,3,78,82,L,185,78
Marshall,13,Wichita St.,4,81,75,W,73,148
Col. of Charleston,13,Auburn,4,58,62,L,136,129
Murray St.,12,West Virginia,5,68,85,L,72,232
New Mexico St.,12,Clemson,5,68,79,L,118,299
Syracuse,11,TCU,6,57,52,W,155,291
Providence,10,Texas A&M,7,69,73,L,125,343
Butler,10,Arkansas,7,79,62,W,167,220
Texas,10,Nevada,7,83,87,L,320,69
Kansas St.,9,Creighton,8,69,59,W,323,38
Florida St.,9,Missouri,8,67,54,W,183,315
Alabama,9,Villanova,1,58,81,L,65,208
Seton Hall,8,Kansas,1,79,83,L,117,169
Rhode Island,7,Duke,2,62,87,L,227,27
Loyola (IL),11,Tennessee,3,63,62,W,157,318
Florida,6,Texas Tech,3,66,69,L,218,242
Houston,6,Michigan,3,63,64,L,130,160
Ohio St.,5,Gonzaga,4,84,90,L,163,1
Buffalo,13,Kentucky,5,75,95,L,20,180
Florida St.,9,Xavier,1,75,70,W,183,185
Butler,10,Purdue,2,73,76,L,167,203
Texas A&M,7,North Carolina,2,86,65,W,343,281
Nevada,7,Cincinnati,2,75,73,W,69,166
Syracuse,11,Michigan St.,3,55,53,W,155,78
Clemson,5,Auburn,4,84,53,W,299,129
Marshall,13,West Virginia,5,71,94,L,73,232
UMBC,16,Kansas St.,9,43,50,L,162,323
Texas A&M,7,Michigan,3,72,99,L,343,160
Florida St.,9,Gonzaga,4,75,60,W,183,1
Kansas St.,9,Kentucky,5,61,58,W,323,180
Loyola (IL),11,Nevada,7,69,68,W,157,69
Clemson,5,Kansas,1,76,80,L,299,169
West Virginia,5,Villanova,1,78,90,L,232,208
Syracuse,11,Duke,2,65,69,L,155,27
Texas Tech,3,Purdue,2,78,65,W,242,203
Florida St.,9,Michigan,3,54,58,L,183,160
Loyola (IL),11,Kansas St.,9,78,62,W,157,323
Texas Tech,3,Villanova,1,59,71,L,242,208
Duke,2,Kansas,1,81,85,L,27,169
Kansas,1,Villanova,1,79,95,L,169,208
Loyola (IL),11,Michigan,3,57,69,L,157,160
Michigan,3,Villanova,1,62,79,L,160,208
UCLA,11,St. Bonaventure,11,58,65,L,238,261
Radford,16,Long Island,16,71,61,W,237,28
Arizona St.,11,Syracuse,11,56,60,L,235,155
N.C. Central,16,Texas Southern,16,46,64,L,266,273
Kansas,1,Penn,16,76,60,W,169,335
Villanova,1,Radford,16,87,61,W,208,237
Duke,2,Iona,15,89,67,W,27,351
Tennessee,3,Wright St.,14,73,47,W,318,3
Texas Tech,3,Stephen F. Austin,14,70,60,W,242,37
Michigan,3,Montana,14,61,47,W,160,304
Gonzaga,4,UNC Greensboro,13,68,64,W,1,79
Arizona,4,Buffalo,13,68,89,L,81,20
Ohio St.,5,South Dakota St.,12,81,73,W,163,2
Kentucky,5,Davidson,12,78,73,W,180,280
Miami (FL),6,Loyola (IL),11,62,64,L,256,157
Houston,6,San Diego St.,11,67,65,W,130,66
Florida,6,St. Bonaventure,11,77,62,W,218,261
Rhode Island,7,Oklahoma,10,83,78,W,227,251
Seton Hall,8,North Carolina St.,9,94,83,W,117,104
Virginia Tech,8,Alabama,9,83,86,L,182,65
Xavier,1,Texas Southern,16,102,83,L,185,273
Virginia,1,UMBC,16,54,74,L,349,162
Purdue,2,Cal St. Fullerton,15,74,48,W,203,255
Cincinnati,2,Georgia St.,15,68,53,W,166,24
North Carolina,2,Lipscomb,15,84,66,W,281,139
Michigan St.,3,Bucknell,14,82,78,W,78,185
Wichita St.,4,Marshall,13,75,81,L,148,73
Auburn,4,Col. of Charleston,13,62,58,W,129,136
West Virginia,5,Murray St.,12,85,68,W,232,72
Clemson,5,New Mexico St.,12,79,68,W,299,118
TCU,6,Syracuse,11,52,57,L,291,155
Texas A&M,7,Providence,10,73,69,W,343,125
Arkansas,7,Butler,10,62,79,L,220,167
Nevada,7,Texas,10,87,83,W,69,320
Creighton,8,Kansas St.,9,59,69,L,38,323
Missouri,8,Florida St.,9,54,67,L,315,183
Villanova,1,Alabama,9,81,58,W,208,65
Kansas,1,Seton Hall,8,83,79,W,169,117
Duke,2,Rhode Island,7,87,62,W,27,227
Tennessee,3,Loyola (IL),11,62,63,L,318,157
Texas Tech,3,Florida,6,69,66,W,242,218
Michigan,3,Houston,6,64,63,W,160,130
Gonzaga,4,Ohio St.,5,90,84,W,1,163
Kentucky,5,Buffalo,13,95,75,W,180,20
Xavier,1,Florida St.,9,70,75,L,185,183
Purdue,2,Butler,10,76,73,W,203,167
North Carolina,2,Texas A&M,7,65,86,L,281,343
Cincinnati,2,Nevada,7,73,75,L,166,69
Michigan St.,3,Syracuse,11,53,55,L,78,155
Auburn,4,Clemson,5,53,84,L,129,299
West Virginia,5,Marshall,13,94,71,W,232,73
Kansas St.,9,UMBC,16,50,43,W,323,162
Michigan,3,Texas A&M,7,99,72,W,160,343
Gonzaga,4,Florida St.,9,60,75,L,1,183
Kentucky,5,Kansas St.,9,58,61,L,180,323
