AP19_Rnk,PS19_Rnk,KP19_Rank,TeamID,TS19_Team,KP19_Conference,TS19_GP,STA19_W,STA19_L,STA19_Pct,STA19_Strk,STA19_Conf_W,STA19_Conf_L,STA19_Conf_Pct,STA19_Home_W,STA19_Home_L,STA19_Away_W,STA19_Away_L,STA19_Neutral_W,STA19_Neutral_L,STA_Top25_W,STA_Top25_L,STA_Conf_PF,STA19_Conf_PA,STA19_Conf_PPG,STA19_Conf_PAPG,STA19_PF,STA19_PA,STA19_PPG,STA19_PAPG,TS19_FGM,TS19_FGA,TS19_FG%,TS19_3PM,TS19_3PA,TS19_3P%,TS19_FTM,TS19_FTA,TS19_FT%,KP19_Ajusted Efficiency Margin,KP19_Adjusted Offensive Efficiency,KP19_AOE Rk,KP19_Adjusted Defensive Efficiency,KP19_ADE Rk,KP19_Adjusted Tempo,KP19_AT Rk,KP19_Luck,KP19_Luck Rk,KP19_Strength of Schedule,KP_SOS Rk,KP19_Non-Conference Strength of Schedule,KP19_NCSOS Rk,KP19_Average Opponents Offensive Efficiency,KP19_AOOE Rk,KP19_Average Opponents Defensive Efficiency,KP19_AODE Rk,Team,Seed,Opponent,OppSeed,PF**,PA,WL,OppTeamID,Opp_AP19_Rnk,Opp_PS19_Rnk,Opp_KP19_Rank,Opp_TeamID,Opp_TS19_Team,Opp_KP19_Conference,Opp_TS19_GP,Opp_STA19_W,Opp_STA19_L,Opp_STA19_Pct,Opp_STA19_Strk,Opp_STA19_Conf_W,Opp_STA19_Conf_L,Opp_STA19_Conf_Pct,Opp_STA19_Home_W,Opp_STA19_Home_L,Opp_STA19_Away_W,Opp_STA19_Away_L,Opp_STA19_Neutral_W,Opp_STA19_Neutral_L,Opp_STA19_Top25_W,Opp_STA19_Top25_L,Opp_STA19_Conf_PF,Opp_STA19_Conf_PA,Opp_STA19_Conf_PPG,Opp_STA19_Conf_PAPG,Opp_STA19_PF,Opp_STA19_PA,Opp_STA19_PPG,Opp_STA19_PAPG,Opp_TS19_FGM,Opp_TS19_FGA,Opp_TS19_FG%,Opp_TS19_3PM,Opp_TS19_3PA,Opp_TS19_3P%,Opp_TS19_FTM,Opp_TS19_FTA,Opp_TS19_FT%,Opp_KP19_Ajusted Efficiency Margin,Opp_KP19_Adjusted Offensive Efficiency,Opp_KP19 AOW Rk,Opp_KP19_Adjusted Defensive Efficiency,Opp_KP19_ADE Rk,Opp_KP19_Adjusted Tempo,Opp_KP19_AT Rk,Opp_KP19_Luck,Opp_KP19_Luck_Rk,Opp_KP19_Strength of Schedule,Opp_KP19_SOS Rk,Opp_KP19_Non-Conference Strength of Schedule,Opp_KP19_NCSOS Rk,Opp_KP19_Average Opponents Offensive Efficiency,Opp_KP19_AOOE Rk,Opp_KP19_Average Opponents Defensive Efficiency,Opp_KP19_AODE Rk
,,76,168.0,Vermont,AE,33,27,7,0.794,L1,14,2,0.875,16,2,11,4,0,1,0,2,0,0,0.0,0.0,2508,2143,73.76470588235293,63.029411764705884,841,1834,0.45899999999999996,257,729,0.353,500,665,0.752,8.86,108.5,97,99.6,88,65.5,285,0.043,77,-5.55,281,3.2,85,100.7,311,106.2,221,Vermont,13.0,Florida St.,4.0,69.0,76.0,L,193.0,10.0,17.0,14.0,193.0,Florida State,ACC,34.0,29.0,8.0,0.784,L1,13.0,5.0,0.722,15.0,1.0,6.0,4.0,8.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,2771.0,2485.0,74.89189189189189,67.16216216216216,879.0,1984.0,0.44299999999999995,255.0,760.0,0.336,534.0,721.0,0.741,22.39,112.8,36.0,90.4,10.0,68.6,121.0,0.046,70.0,10.46,30.0,0.93,128.0,109.8,20.0,99.3,33.0
11.0,,12,130.0,Houston,Amer,33,33,4,0.892,L1,16,2,0.889,19,1,10,1,4,2,3,2,0,0,0.0,0.0,2787,2258,75.32432432432431,61.02702702702703,883,1968,0.449,305,838,0.364,443,629,0.7040000000000001,24.13,115.3,19,91.2,11,66.1,260,0.039,86,4.45,76,-4.16,283,105.7,92,101.3,62,Houston,3.0,Kentucky,2.0,58.0,62.0,L,190.0,7.0,2.0,8.0,190.0,Kentucky,SEC,33.0,30.0,7.0,0.8109999999999999,L1,15.0,3.0,0.833,17.0,1.0,8.0,2.0,5.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,2806.0,2394.0,75.83783783783784,64.70270270270271,878.0,1835.0,0.478,199.0,547.0,0.364,577.0,780.0,0.74,27.57,117.6,14.0,90.1,8.0,65.6,284.0,0.033,98.0,11.32,19.0,1.75,107.0,110.7,5.0,99.4,34.0
11.0,,12,130.0,Houston,Amer,33,33,4,0.892,L1,16,2,0.889,19,1,10,1,4,2,3,2,0,0,0.0,0.0,2787,2258,75.32432432432431,61.02702702702703,883,1968,0.449,305,838,0.364,443,629,0.7040000000000001,24.13,115.3,19,91.2,11,66.1,260,0.039,86,4.45,76,-4.16,283,105.7,92,101.3,62,Houston,3.0,Georgia St.,14.0,84.0,55.0,W,24.0,,,124.0,24.0,Georgia State,SB,32.0,24.0,10.0,0.706,L1,13.0,5.0,0.722,13.0,1.0,7.0,7.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2598.0,2491.0,76.41176470588233,73.26470588235293,865.0,1858.0,0.466,316.0,814.0,0.38799999999999996,424.0,643.0,0.659,4.85,107.7,111.0,102.8,143.0,70.0,69.0,0.14300000000000002,2.0,1.09,115.0,3.5,70.0,105.2,121.0,104.1,137.0
11.0,,12,130.0,Houston,Amer,33,33,4,0.892,L1,16,2,0.889,19,1,10,1,4,2,3,2,0,0,0.0,0.0,2787,2258,75.32432432432431,61.02702702702703,883,1968,0.449,305,838,0.364,443,629,0.7040000000000001,24.13,115.3,19,91.2,11,66.1,260,0.039,86,4.45,76,-4.16,283,105.7,92,101.3,62,Houston,3.0,Ohio St.,11.0,74.0,59.0,W,163.0,,,44.0,163.0,Ohio State,B10,33.0,20.0,15.0,0.5710000000000001,L1,8.0,12.0,0.4,12.0,6.0,4.0,7.0,4.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,2419.0,2318.0,69.11428571428571,66.22857142857143,797.0,1824.0,0.4370000000000001,249.0,725.0,0.34299999999999997,455.0,620.0,0.7340000000000001,14.66,109.1,84.0,94.4,25.0,65.8,274.0,0.013000000000000001,147.0,11.68,17.0,-2.95,246.0,110.4,8.0,98.8,24.0
,,69,302.0,Temple,Amer,32,23,10,0.6970000000000001,L2,13,5,0.722,13,2,8,5,2,3,2,2,0,0,0.0,0.0,2465,2358,74.6969696969697,71.45454545454545,845,1927,0.439,240,726,0.331,465,636,0.731,9.72,109.2,80,99.5,85,68.9,110,0.064,35,4.55,74,-1.07,188,106.3,77,101.8,68,Temple,11.0,Belmont,11.0,70.0,81.0,L,13.0,,,49.0,13.0,Belmont,OVC,31.0,27.0,6.0,0.818,L1,16.0,2.0,0.889,13.0,1.0,12.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2868.0,2439.0,86.9090909090909,73.9090909090909,987.0,1976.0,0.499,325.0,871.0,0.373,411.0,557.0,0.738,14.09,115.6,18.0,101.5,117.0,71.3,34.0,0.025,113.0,-1.98,194.0,3.78,63.0,103.6,183.0,105.6,198.0
22.0,,29,166.0,Cincinnati,Amer,33,28,7,0.8,L1,14,4,0.778,16,2,7,4,5,1,1,4,0,0,0.0,0.0,2510,2194,71.71428571428571,62.68571428571428,822,1903,0.4320000000000001,220,629,0.35,505,719,0.7020000000000001,17.5,112.3,42,94.8,28,63.4,338,0.05,64,5.12,67,-2.85,243,107.1,66,102.0,73,Cincinnati,7.0,Iowa,10.0,72.0,79.0,L,50.0,,,37.0,50.0,Iowa,B10,33.0,23.0,12.0,0.657,L1,10.0,10.0,0.5,14.0,4.0,4.0,6.0,5.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,2740.0,2585.0,78.28571428571429,73.85714285714286,862.0,1894.0,0.455,267.0,739.0,0.361,593.0,801.0,0.74,16.02,117.4,15.0,101.3,111.0,69.5,84.0,0.05,63.0,10.64,26.0,-6.49,329.0,108.9,42.0,98.3,16.0
,,34,296.0,UCF,Amer,31,24,9,0.727,L1,13,5,0.722,15,2,5,5,4,2,2,2,0,0,0.0,0.0,2385,2128,72.27272727272727,64.48484848484848,765,1652,0.46299999999999997,211,596,0.354,495,767,0.645,16.51,112.1,44,95.6,33,65.0,309,0.011000000000000001,152,4.99,69,-3.71,264,105.9,90,100.9,57,UCF,9.0,VCU,8.0,73.0,58.0,W,187.0,,,42.0,187.0,VCU,A10,32.0,25.0,8.0,0.758,L2,16.0,2.0,0.889,16.0,1.0,8.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2344.0,2044.0,71.03030303030303,61.93939393939394,801.0,1811.0,0.442,229.0,745.0,0.307,455.0,652.0,0.698,14.89,104.3,177.0,89.5,7.0,68.4,136.0,0.006999999999999999,164.0,1.37,105.0,3.6,67.0,105.2,120.0,103.8,123.0
,,34,296.0,UCF,Amer,31,24,9,0.727,L1,13,5,0.722,15,2,5,5,4,2,2,2,0,0,0.0,0.0,2385,2128,72.27272727272727,64.48484848484848,765,1652,0.46299999999999997,211,596,0.354,495,767,0.645,16.51,112.1,44,95.6,33,65.0,309,0.011000000000000001,152,4.99,69,-3.71,264,105.9,90,100.9,57,UCF,9.0,Duke,1.0,76.0,77.0,L,27.0,1.0,4.0,4.0,27.0,Duke,ACC,34.0,32.0,6.0,0.8420000000000001,L1,14.0,4.0,0.778,15.0,2.0,7.0,2.0,10.0,2.0,10.0,5.0,0.0,0.0,0.0,0.0,3143.0,2576.0,82.71052631578948,67.78947368421052,1037.0,2173.0,0.47700000000000004,247.0,818.0,0.302,518.0,751.0,0.69,30.62,120.0,7.0,89.3,6.0,72.1,20.0,0.018000000000000002,134.0,12.85,7.0,5.08,40.0,110.7,4.0,97.8,11.0
,,106,186.0,Saint Louis,A10,34,23,13,0.639,L1,10,8,0.556,15,2,4,8,4,3,0,3,0,0,0.0,0.0,2399,2297,66.6388888888889,63.80555555555557,814,1941,0.419,197,630,0.313,467,778,0.6,6.02,102.2,214,96.2,40,66.4,239,0.044000000000000004,74,0.49,126,-1.44,200,104.4,150,103.9,129,Saint Louis,13.0,Virginia Tech,4.0,52.0,66.0,L,182.0,16.0,15.0,13.0,182.0,Virginia Tech,ACC,32.0,26.0,9.0,0.743,L1,12.0,6.0,0.667,14.0,2.0,5.0,5.0,7.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,2574.0,2172.0,73.54285714285714,62.05714285714286,824.0,1733.0,0.475,307.0,779.0,0.39399999999999996,413.0,545.0,0.758,24.07,118.1,11.0,94.0,20.0,63.7,334.0,-0.005,195.0,8.47,47.0,-6.26,325.0,108.3,49.0,99.9,42.0
,,42,187.0,VCU,A10,32,25,8,0.758,L2,16,2,0.889,16,1,8,4,1,3,0,1,0,0,0.0,0.0,2344,2044,71.03030303030303,61.93939393939394,801,1811,0.442,229,745,0.307,455,652,0.698,14.89,104.3,177,89.5,7,68.4,136,0.006999999999999999,164,1.37,105,3.6,67,105.2,120,103.8,123,VCU,8.0,UCF,9.0,58.0,73.0,L,296.0,,,34.0,296.0,UCF,Amer,31.0,24.0,9.0,0.727,L1,13.0,5.0,0.722,15.0,2.0,5.0,5.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2385.0,2128.0,72.27272727272727,64.48484848484848,765.0,1652.0,0.46299999999999997,211.0,596.0,0.354,495.0,767.0,0.645,16.51,112.1,44.0,95.6,33.0,65.0,309.0,0.011000000000000001,152.0,4.99,69.0,-3.71,264.0,105.9,90.0,100.9,57.0
