PS19_Rnk,PS19_Team,TeamID
1,Kansas,169
2,Kentucky,190
3,Gonzaga,1
4,Duke,27
5,Virginia,349
6,Tennessee,318
7,Nevada,69
8,North Carolina,281
9,Villanova,208
10,Michigan State,78
11,Auburn,129
12,Kansas State,323
13,West Virginia,232
14,Oregon,47
15,Virginia Tech,182
16,Syracuse,155
17,Florida State,193
18,Mississippi State,230
19,Michigan,160
20,TCU,291
21,UCLA,238
22,Clemson,299
23,LSU,109
24,Purdue,203
25,Washington,143
