AP19_Rnk,PS19_Rnk,KP19_Rank,TeamID,TS19_Team,KP19_Conference,TS19_GP,STA19_W,STA19_L,STA19_Pct,STA19_Strk,STA19_Conf_W,STA19_Conf_L,STA19_Conf_Pct,STA19_Home_W,STA19_Home_L,STA19_Away_W,STA19_Away_L,STA19_Neutral_W,STA19_Neutral_L,STA19_Top25_W,STA19_Top25_L,STA19_Conf_PF,STA19_Conf_PA,STA19_Conf_PPG,STA19_Conf_PAPG,STA19_PF,STA19_PA,STA19_PPG,STA19_PAPG,TS19_FGM,TS19_FGA,TS19_FG%,TS19_3PM,TS19_3PA,TS19_3P%,TS19_FTM,TS19_FTA,TS19_FT%,KP19_Ajusted Efficiency Margin,KP19_Adjusted Offensive Efficiency,KP19_AOE Rk,KP19_Adjusted Defensive Efficiency,KP19_ADE Rk,KP19_Adjusted Tempo,KP19_AT Rk,KP19_Luck,KP19_Luck Rk,KP19_Strength of Schedule,KP19_SOS Rk,KP19_Non-Conference Strength of Schedule,KP19_NCSOS Rk,KP19_Average Opponents Offensive Efficiency,KP19_AOOE Rk,KP19_Average Opponents Defensive Efficiency,KP19_AODE Rk
,,140,327.0,UL Monroe,SB,33,19,16,0.5429999999999999,L1,9,9,0.5,14,3,4,12,1,1,0,1,0,0,0.0,0.0,2773,2637,79.22857142857143,75.34285714285714,854,1890,0.452,330,835,0.395,546,698,0.782,2.9,112.5,40,109.6,271,66.3,244,-0.057,305,-2.39,211,-4.02,275,103.4,201,105.8,201
,,206,188.0,Appalachian State,SB,32,11,21,0.344,L2,6,12,0.333,9,5,2,13,0,3,0,1,0,0,0.0,0.0,2557,2539,79.90625,79.34375,880,1938,0.454,292,814,0.359,505,706,0.715,-3.53,106.2,142,109.7,274,71.6,28,-0.083,334,1.03,116,5.33,35,105.3,112,104.3,152
,,214,61.0,South Alabama,SB,34,17,17,0.5,L1,8,10,0.444,13,6,3,10,1,1,0,1,0,0,0.0,0.0,2478,2465,72.88235294117645,72.5,867,1883,0.46,285,761,0.375,459,669,0.6859999999999999,-4.52,103.1,200,107.7,241,66.3,241,0.012,150,-3.7,246,-8.18,341,102.9,231,106.6,237
,,124,24.0,Georgia State,SB,32,24,10,0.706,L1,13,5,0.722,13,1,7,7,4,2,0,2,0,0,0.0,0.0,2598,2491,76.41176470588233,73.26470588235293,865,1858,0.466,316,814,0.388,424,643,0.659,4.85,107.7,111,102.8,143,70.0,69,0.14300000000000002,2,1.09,115,3.5,70,105.2,121,104.1,137
,,138,99.0,Texas State,SB,33,24,10,0.706,L2,12,6,0.667,11,4,10,5,3,1,0,0,0,0,0.0,0.0,2470,2204,72.6470588235294,64.82352941176471,846,1905,0.444,238,723,0.329,459,673,0.682,3.53,102.4,212,98.8,76,65.1,306,0.022,123,-3.08,223,-5.93,320,103.4,199,106.5,233
,,154,25.0,Coastal Carolina,SB,31,17,17,0.5,L1,9,9,0.5,10,4,6,11,1,2,0,0,0,0,0.0,0.0,2641,2520,77.67647058823529,74.11764705882355,797,1772,0.45,249,680,0.366,521,724,0.72,1.03,106.8,132,105.7,197,69.8,76,-0.071,326,-0.98,165,-0.54,176,105.2,119,106.2,220
,,254,75.0,Arkansas St,SB,32,13,19,0.406,L2,7,11,0.389,10,4,2,13,1,2,0,0,0,0,0.0,0.0,2359,2475,73.71875,77.34375,796,1904,0.418,237,709,0.334,530,721,0.735,-7.8,102.4,210,110.2,285,68.3,140,0.086,14,-0.66,159,0.59,138,104.8,136,105.4,193
,,222,86.0,Little Rock,SB,31,10,21,0.32299999999999995,L6,5,13,0.278,7,9,3,12,0,0,0,1,0,0,0.0,0.0,2301,2353,74.2258064516129,75.90322580645163,817,1687,0.484,206,582,0.354,461,703,0.6559999999999999,-4.99,100.0,260,105.0,180,70.4,55,-0.149,352,-1.96,193,-2.51,233,104.3,157,106.3,224
,,150,123.0,UT Arlington,SB,32,17,16,0.515,L1,12,6,0.667,9,5,7,10,1,1,0,1,0,0,0.0,0.0,2284,2303,69.21212121212122,69.78787878787878,758,1844,0.411,227,740,0.307,477,642,0.743,1.45,101.3,241,99.9,93,66.3,251,0.038,87,1.15,112,5.43,30,105.0,127,103.9,126
,,249,83.0,Troy,SB,30,12,18,0.4,W1,5,13,0.278,8,8,4,10,0,0,0,1,0,0,0.0,0.0,2179,2242,72.63333333333334,74.73333333333333,773,1719,0.45,236,704,0.335,397,550,0.722,-7.49,102.9,202,110.4,290,67.0,207,0.053,56,-0.57,153,0.97,126,104.5,149,105.0,182
4.0,3.0,2,1.0,Gonzaga,WCC,33,33,4,0.892,L1,16,0,1.0,17,0,9,1,7,3,2,3,0,0,0.0,0.0,3243,2400,87.64864864864866,64.86486486486487,1062,1997,0.532,257,704,0.365,551,718,0.767,32.85,124.5,1,91.6,12,70.2,62,-0.001,180,4.46,75,1.87,105,106.9,69,102.5,87
,,151,45.0,Pepperdine,WCC,34,16,18,0.471,L1,6,10,0.375,9,5,2,11,5,2,0,2,0,0,0.0,0.0,2572,2529,75.6470588235294,74.38235294117645,865,1949,0.444,313,819,0.382,529,696,0.76,1.43,107.0,124,105.6,194,70.3,58,-0.057,304,-0.19,144,-7.0,333,104.1,161,104.3,153
,,90,140.0,San Diego,WCC,35,21,15,0.583,L2,7,9,0.438,12,4,5,9,4,2,0,2,0,0,0.0,0.0,2591,2455,71.97222222222223,68.19444444444444,892,1942,0.459,274,784,0.349,473,634,0.746,7.58,105.9,147,98.3,67,66.9,213,-0.006,199,3.27,88,-0.09,165,106.1,82,102.8,96
,,86,6.0,BYU,WCC,32,19,13,0.594,L1,11,5,0.688,13,3,5,8,1,2,0,4,0,0,0.0,0.0,2527,2436,78.96875,76.125,878,1878,0.468,226,684,0.33,545,750,0.727,7.72,112.0,46,104.3,162,70.9,44,0.027000000000000003,106,2.93,91,-0.12,166,106.0,85,103.1,102
,,31,18.0,Saint Mary's,WCC,33,22,12,0.647,L1,11,5,0.688,14,3,5,5,3,4,1,4,0,0,0.0,0.0,2463,2185,72.44117647058823,64.26470588235293,876,1850,0.474,245,648,0.378,409,549,0.745,17.31,114.7,23,97.4,55,62.7,348,-0.045,285,3.66,82,-0.9,183,106.6,76,103.0,100
,,67,15.0,San Francisco,WCC,31,21,10,0.677,L4,9,7,0.563,13,3,6,5,2,2,0,3,0,0,0.0,0.0,2358,2101,76.06451612903227,67.7741935483871,864,1851,0.467,258,727,0.355,372,568,0.655,9.93,112.0,45,102.1,125,66.6,232,-0.022,240,-0.52,152,-6.75,331,104.1,163,104.6,163
,,216,32.0,Pacific,WCC,32,14,18,0.438,L1,4,12,0.25,9,7,5,10,0,1,0,3,0,0,0.0,0.0,2138,2241,66.8125,70.03125,710,1681,0.422,198,566,0.35,520,698,0.745,-4.56,100.0,256,104.6,166,65.1,308,0.045,71,1.38,104,-3.81,269,105.9,88,104.5,161
,,186,9.0,Santa Clara,WCC,31,16,15,0.516,L1,8,8,0.5,11,6,5,6,0,3,0,2,0,0,0.0,0.0,2115,2172,68.2258064516129,70.06451612903226,735,1653,0.445,239,663,0.36,406,567,0.716,-1.77,102.1,217,103.9,154,66.3,242,0.059,47,-0.65,158,-9.38,345,104.4,152,105.0,178
,,134,225.0,Loyola Marymount,WCC,31,22,12,0.647,L1,8,8,0.5,12,4,8,7,2,1,0,2,0,0,0.0,0.0,2278,2125,67.0,62.5,744,1627,0.457,146,460,0.317,460,618,0.7440000000000001,3.84,103.6,191,99.8,90,62.7,347,0.066,33,0.1,134,-5.47,313,104.3,154,104.2,146
,,326,120.0,Portland,WCC,32,7,25,0.219,L18,0,16,0.0,6,11,1,12,0,2,0,1,0,0,0.0,0.0,2078,2389,64.9375,74.65625,707,1708,0.414,216,664,0.325,448,668,0.6709999999999999,-15.64,94.6,329,110.2,283,66.8,222,-0.011,214,-0.17,142,-7.78,337,103.6,191,103.7,119
,,53,119.0,New Mexico State,WAC,34,30,5,0.857,L1,15,1,0.938,16,1,10,2,4,2,0,2,0,0,0.0,0.0,2734,2259,78.11428571428571,64.54285714285714,937,2041,0.459,319,952,0.335,464,687,0.675,13.62,113.0,35,99.3,84,65.9,269,0.042,79,-3.44,236,-3.22,254,102.8,235,106.2,222
,,104,101.0,Utah Valley,WAC,33,24,10,0.706,L1,11,4,0.733,13,1,8,8,3,1,0,0,0,0,0.0,0.0,2615,2404,76.91176470588233,70.70588235294117,879,1812,0.485,268,697,0.385,522,720,0.725,6.22,108.5,96,102.3,131,68.8,115,0.037000000000000005,88,-2.03,197,-0.24,172,103.9,174,105.9,211
,,111,254.0,Grand Canyon,WAC,33,20,13,0.606,L2,10,5,0.667,12,2,5,7,3,4,0,1,0,0,0.0,0.0,2490,2271,75.45454545454545,68.81818181818181,882,1944,0.454,248,748,0.332,483,659,0.733,5.49,107.6,113,102.1,124,67.8,162,-0.038,269,-0.81,162,-0.13,167,104.1,164,104.9,172
,,182,259.0,UT Rio Grande Valley,WAC,35,20,17,0.541,L1,9,7,0.563,11,9,8,7,1,1,0,1,0,0,0.0,0.0,2634,2623,71.18918918918921,70.89189189189189,836,2006,0.417,187,590,0.317,616,885,0.696,-1.5,99.6,270,101.1,109,70.4,56,0.026,108,-2.13,202,-1.07,189,102.8,236,104.9,174
,,190,39.0,Seattle,WAC,32,18,15,0.545,L2,6,10,0.375,14,6,4,8,0,1,0,0,0,0,0.0,0.0,2420,2283,73.33333333333333,69.18181818181819,827,1885,0.439,232,624,0.3720000000000001,466,649,0.718,-1.99,100.8,248,102.8,142,67.2,198,-0.04,273,-5.06,276,-8.81,343,102.3,260,107.4,279
,,197,43.0,California Baptist,WAC,30,16,15,0.516,L2,7,9,0.438,8,7,8,6,0,2,0,1,0,0,0.0,0.0,2403,2241,77.51612903225806,72.29032258064517,816,1812,0.45,280,778,0.36,436,557,0.7829999999999999,-2.82,106.1,144,108.9,258,67.9,156,-0.07,324,-3.47,237,-5.65,316,102.4,253,105.9,208
,,238,149.0,UMKC,WAC,32,11,21,0.344,L1,6,10,0.375,8,5,3,14,0,2,0,0,0,0,0.0,0.0,2220,2341,69.375,73.15625,774,1794,0.431,259,728,0.35600000000000004,413,590,0.7,-6.45,101.1,245,107.6,239,66.3,248,-0.052000000000000005,299,-0.17,143,1.22,118,105.1,124,105.3,190
,,226,121.0,CSU Bakersfield,WAC,31,18,16,0.529,L1,7,9,0.438,9,4,7,10,2,2,0,2,0,0,0.0,0.0,2412,2412,70.94117647058823,70.94117647058823,811,1896,0.428,212,638,0.332,377,565,0.667,-5.13,102.6,207,107.7,243,65.2,303,0.07200000000000001,28,-2.04,199,-2.69,240,103.5,198,105.5,195
,,351,147.0,Chicago State,WAC,32,3,29,0.094,L21,0,16,0.0,3,8,0,19,0,2,0,0,0,0,0.0,0.0,1970,2710,61.5625,84.6875,718,1752,0.41,141,471,0.299,393,581,0.6759999999999999,-28.26,90.4,340,118.6,351,70.1,65,-0.012,218,2.7,92,5.2,37,105.4,105,102.7,94
