STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,TeamID
"Prairie View A&M
P",14,4,0.778,0,0,19,13,0.594,2302,2186,W1,0.0,0.0,71.9375,68.3125,12,0,6,12,1,1,0,0,267
"Southern U
SOU",13,5,0.722,0,0,17,15,0.531,2234,2147,W8,0.0,0.0,69.8125,67.09375,11,1,5,14,1,0,0,1,264
Texas Southern,12,6,0.667,0,0,16,16,0.5,2335,2431,W1,0.0,0.0,72.96875,75.96875,11,1,5,15,0,0,0,2,273
Jackson State,11,7,0.611,0,0,15,17,0.469,2153,2157,W5,0.0,0.0,67.28125,67.40625,9,3,6,14,0,0,0,2,294
"Alcorn State
A",11,7,0.611,0,0,15,15,0.5,2251,2196,L1,0.0,0.0,75.03333333333333,73.2,11,2,4,13,0,0,0,1,209
"Grambling State
GRA",11,7,0.611,0,0,17,15,0.531,2280,2188,L1,0.0,0.0,71.25,68.375,11,2,6,12,0,1,0,1,153
"Alabama State
A",7,11,0.389,0,0,8,24,0.25,1965,2273,L7,0.0,0.0,61.40625,71.03125,4,5,2,16,2,3,0,4,336
"Alabama A&M
AAMU",5,13,0.278,0,0,8,22,0.267,1845,2146,L2,0.0,0.0,61.5,71.53333333333333,6,5,2,16,0,1,0,0,342
"UAPB
ARPB",3,15,0.16699999999999998,0,0,4,26,0.133,1615,2049,L3,0.0,0.0,53.83333333333334,68.3,2,8,2,18,0,0,0,1,353
"Miss Valley State
MVSU",3,15,0.16699999999999998,0,0,3,27,0.1,2048,2690,W1,0.0,0.0,68.26666666666667,89.66666666666669,1,8,2,19,0,0,0,0,345
