STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,TeamID
"Liberty
LI",13,3,0.813,0,0,30,4,0.882,2332,1830,W3,0.0,0.0,68.58823529411765,53.82352941176471,17,0,7,4,6,0,0,0,198
"North Florida
UNF",13,3,0.813,0,0,21,12,0.636,2583,2416,L1,0.0,0.0,78.27272727272727,73.21212121212122,13,2,7,9,1,1,0,3,11
"Lipscomb
LI",9,7,0.563,0,0,16,16,0.5,2255,2261,L1,0.0,0.0,70.46875,70.65625,9,5,7,11,0,0,0,2,139
"Stetson
STET",9,7,0.563,0,0,16,17,0.485,2103,2167,L1,0.0,0.0,63.72727272727273,65.66666666666667,8,7,7,9,1,1,0,1,207
"North Alabama
UN",8,8,0.5,0,0,13,17,0.433,2062,2092,L1,0.0,0.0,68.73333333333333,69.73333333333333,9,4,4,13,0,0,0,1,202
"Jacksonville
JAC",7,9,0.43799999999999994,0,0,14,18,0.43799999999999994,2139,2133,L1,0.0,0.0,66.84375,66.65625,6,7,7,9,1,2,0,1,177
"FGCU
FGCU",7,9,0.43799999999999994,0,0,10,22,0.313,1979,2122,L2,0.0,0.0,61.84375,66.3125,6,10,4,12,0,0,0,1,245
"NJIT
NJIT",6,10,0.375,0,0,9,21,0.3,1904,2030,L1,0.0,0.0,63.46666666666667,67.66666666666667,5,7,4,14,0,0,0,0,303
"Kennesaw State
KENN",0,16,0.0,0,0,1,28,0.034,1602,2181,L20,0.0,0.0,55.24137931034482,75.20689655172414,1,10,0,16,0,2,0,1,337
