STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,TeamID
"New Mexico State
NMSU",16,0,1.0,0,0,25,6,0.8059999999999999,2214,1852,W19,0.0,0.0,71.4193548387097,59.74193548387096,13,1,9,4,3,1,0,1,119
"California Baptist
CBU",10,6,0.625,0,0,21,10,0.677,2465,2170,L2,0.0,0.0,79.51612903225806,70.0,15,5,6,5,0,1,0,0,43
"UT-Rio GV
U",9,7,0.563,0,0,14,16,0.467,2189,2143,W2,0.0,0.0,72.96666666666667,71.43333333333334,11,3,3,11,0,2,0,1,259
"UMKC
UMKC",8,7,0.5329999999999999,0,0,16,14,0.5329999999999999,2094,1976,W4,0.0,0.0,69.8,65.86666666666666,9,4,5,8,2,2,0,1,149
"Grand Canyon
GC",8,8,0.5,0,0,13,17,0.433,2116,2191,W1,0.0,0.0,70.53333333333333,73.03333333333333,8,8,4,6,1,3,0,0,254
Seattle,7,7,0.5,0,0,14,15,0.483,2177,2110,L1,0.0,0.0,75.06896551724137,72.75862068965517,10,4,3,10,1,1,0,1,39
"Bakersfield
C",6,10,0.375,0,0,12,19,0.387,2109,2097,L2,0.0,0.0,68.03225806451613,67.64516129032258,9,7,3,12,0,0,0,2,121
"Utah Valley
UVU",5,10,0.33299999999999996,0,0,11,19,0.36700000000000005,2105,2131,L2,0.0,0.0,70.16666666666667,71.03333333333333,6,7,5,12,0,0,0,1,101
"Chicago State
C",0,14,0.0,0,0,4,25,0.138,1781,2372,L19,0.0,0.0,61.41379310344828,81.79310344827586,3,11,1,12,0,2,0,0,147
