PS20_Rnk,PS20_Team,TeamID
1,Kansas,169
2,Gonzaga,1
3,Dayton,26
4,Florida State,193
5,Baylor,298
6,San Diego State,66
7,Creighton,38
8,Kentucky,190
9,Michigan State,78
10,Villanova,208
11,Duke,27
12,Maryland,194
13,Oregon,47
14,Louisville,134
15,Seton Hall,117
16,Virginia,349
17,Wisconsin,222
18,BYU,6
19,Ohio State,163
20,Auburn,129
21,Illinois,107
22,Houston,130
23,Butler,167
24,West Virginia,232
25,Iowa,50
