TS20_Team,TS20_GP,TS20_PTS,TS20_FG%,TS20_3P%,TS20_FT%,TS20_FGM,TS20_FGA,TS20_3PM,TS20_3PA,TS20_FTM,TS20_FTA,TeamID
Gonzaga,33,2885,0.515,0.386,0.688,1048,2035,246,637,543,789,1
Winthrop,34,2765,0.462,0.34600000000000003,0.636,980,2120,322,931,483,760,10
Green Bay,33,2694,0.45899999999999996,0.369,0.7559999999999999,968,2109,252,683,506,669,4
Hampton,34,2635,0.456,0.332,0.6990000000000001,924,2025,213,641,574,821,71
Belmont,33,2627,0.475,0.35200000000000004,0.713,986,2074,320,908,335,470,13
Utah State,34,2600,0.46,0.33299999999999996,0.763,905,1967,248,745,542,710,7
Hofstra,34,2596,0.45,0.375,0.7829999999999999,895,1991,282,753,524,669,19
East Tennessee State,34,2593,0.475,0.34600000000000003,0.6940000000000001,919,1936,260,752,495,713,44
Colgate,34,2588,0.44799999999999995,0.35700000000000004,0.7490000000000001,932,2079,342,957,382,510,64
North Florida,33,2583,0.45,0.379,0.762,889,1974,391,1031,414,543,11
Coastal Carolina,33,2573,0.451,0.337,0.716,915,2030,242,719,501,700,25
Saint Mary's,34,2559,0.479,0.396,0.754,922,1925,276,697,439,582,18
Duke,31,2558,0.47,0.35200000000000004,0.72,920,1957,217,617,501,696,27
BYU,32,2548,0.5,0.423,0.7,949,1897,332,785,318,454,6
South Dakota,32,2547,0.49200000000000005,0.391,0.755,889,1806,233,596,536,710,12
San Francisco,34,2546,0.442,0.33399999999999996,0.72,906,2050,300,899,434,603,15
Alabama,31,2542,0.43700000000000006,0.349,0.693,854,1956,334,957,500,721,65
McNeese,32,2540,0.49700000000000005,0.39899999999999997,0.7240000000000001,911,1833,269,675,449,620,49
New Mexico,33,2531,0.466,0.327,0.72,892,1913,230,704,517,718,5
Valparaiso,35,2530,0.442,0.34,0.7140000000000001,922,2088,287,843,399,559,76
Wofford,35,2523,0.46,0.353,0.7120000000000001,909,1974,336,952,369,518,103
Austin Peay,33,2519,0.45899999999999996,0.34600000000000003,0.716,892,1943,223,644,512,715,31
Portland State,32,2518,0.44799999999999995,0.332,0.7190000000000001,927,2070,208,626,456,634,17
Buffalo,32,2516,0.433,0.32299999999999995,0.6709999999999999,927,2139,261,809,401,598,20
Eastern Washington,31,2509,0.46,0.349,0.6940000000000001,913,1986,288,826,395,569,138
Wright State,31,2509,0.457,0.364,0.677,893,1953,242,665,481,711,3
Central Michigan,32,2506,0.43,0.324,0.746,876,2037,247,763,507,680,68
Long Island University,33,2504,0.441,0.344,0.715,867,1966,312,906,458,641,28
Georgia State,32,2499,0.43799999999999994,0.36200000000000004,0.74,879,2005,278,767,463,626,24
Stephen F. Austin,31,2499,0.491,0.36200000000000004,0.691,887,1806,179,494,546,790,37
Santa Clara,33,2498,0.462,0.354,0.742,877,1898,249,704,495,667,9
LSU,31,2495,0.47100000000000003,0.327,0.769,886,1880,211,645,512,666,109
Georgia Southern,33,2494,0.442,0.32799999999999996,0.674,874,1979,260,792,486,721,53
South Dakota State,32,2493,0.491,0.34700000000000003,0.7070000000000001,914,1861,235,677,430,608,2
Oral Roberts,31,2485,0.44799999999999995,0.33399999999999996,0.7490000000000001,898,2004,253,758,436,582,57
St. Francis (PA),32,2485,0.467,0.36,0.75,899,1923,204,567,483,644,80
Dayton,31,2480,0.525,0.371,0.72,905,1725,249,672,421,585,26
North Dakota,33,2470,0.456,0.34,0.7609999999999999,855,1875,259,762,501,658,21
North Dakota State,33,2467,0.446,0.35600000000000004,0.7979999999999999,837,1878,303,852,490,614,96
