AP20_Rnk,PS20_Rnk,KP20_Rank,TeamID,TS20_Team,KP20_Conference,TS20_GP,STA20_W,STA20_L,STA20_Pct,STA20_Strk,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,STA20_Conf_PF,STA20_Conf_PA,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PF,STA20_PA,STA20_PPG,STA20_PAPG,TS20_FGM,TS20_FGA,TS20_FG%,TS20_3PM,TS20_3PA,TS20_3P%,TS20_FTM,TS20_FTA,TS20_FT%,KP20_Ajusted Efficiency Margin,KP20_Adjusted Offensive Efficiency,KP20_AOE Rk,KP20_Adjusted Defensive Efficiency,KP20_ADE Rk,KP20_Adjusted Tempo,KP20_AT Rk,KP20_Luck,KP20_Luck Rk,KP20_Strength of Schedule,KP20_SOS Rk,KP20_Non-Conference Strength of Schedule,KP20_NCSOS Rk,KP20_Average Opponents Offensive Efficiency,KP20_AOOE Rk,KP20_Average Opponents Defensive Efficiency,KP20_AODE Rk,Team,Seed
,,108.0,19,Hofstra,CAA,34,26,8,0.765,W4,14,4,0.778,10,4,11,4,5,0,0,0,0,0,0.0,0.0,2596,2326,76.3529411764706,68.41176470588235,895,1991,0.45,282,753,0.375,524,669,0.7829999999999999,6.06,108.7,62.0,102.6,187.0,67.9,202.0,0.064,39.0,-4.37,248.0,-4.39,308.0,101.1,228.0,105.5,295.0,Hofstra,14.0
,,77.0,62,North Texas,CUSA,31,20,11,0.645,L1,14,4,0.778,13,3,7,6,0,2,0,3,0,0,0.0,0.0,2203,1962,71.06451612903227,63.29032258064516,786,1627,0.483,253,667,0.379,378,503,0.7509999999999999,9.97,111.2,34.0,101.2,146.0,62.9,350.0,-0.032,268.0,1.92,113.0,6.11,28.0,102.5,152.0,100.6,93.0,North Texas,14.0
,,144.0,41,Northern Kentucky,Horz,32,23,9,0.7190000000000001,W2,13,5,0.722,11,4,10,5,2,0,0,0,0,0,0.0,0.0,2317,2089,72.40625,65.28125,810,1872,0.433,259,848,0.305,438,636,0.6890000000000001,2.11,102.0,191.0,99.8,120.0,65.7,304.0,0.07400000000000001,20.0,-5.16,270.0,-0.21,185.0,100.0,267.0,105.2,279.0,Northern Kentucky,15.0
,,58.0,189,Yale,Ivy,30,23,7,0.767,L1,11,3,0.7859999999999999,10,1,11,6,2,0,0,0,0,0,0.0,0.0,2289,1954,76.3,65.13333333333334,809,1726,0.469,265,714,0.371,406,570,0.7120000000000001,11.57,107.9,73.0,96.4,67.0,67.4,227.0,-0.026000000000000002,253.0,0.22,143.0,3.64,63.0,102.1,179.0,101.9,120.0,Yale,12.0
,,145.0,307,Siena,MAAC,30,20,10,0.667,W10,15,5,0.75,14,0,5,10,1,0,0,1,0,0,0.0,0.0,2167,2031,72.23333333333333,67.7,770,1679,0.45899999999999996,198,558,0.355,429,609,0.7040000000000001,2.06,107.2,87.0,105.1,236.0,66.7,261.0,-0.001,189.0,-5.42,277.0,0.29,171.0,98.3,329.0,103.7,205.0,Siena,16.0
,,272.0,266,North Carolina Central,MEAC,31,18,13,0.581,W6,13,3,0.813,12,0,5,13,1,0,0,1,0,0,0.0,0.0,2162,2045,69.74193548387096,65.96774193548387,797,1734,0.46,182,605,0.301,386,591,0.653,-9.0,94.2,319.0,103.2,193.0,66.6,263.0,0.065,35.0,-8.95,344.0,6.55,25.0,97.3,340.0,106.3,326.0,NC Central,16.0
,,327.0,200,Coppin State,MEAC,31,11,20,0.355,W3,7,9,0.43799999999999994,5,5,6,15,0,0,0,0,0,0,0.0,0.0,2109,2298,68.03225806451613,74.12903225806451,736,1870,0.39399999999999996,247,878,0.281,390,613,0.636,-15.66,89.6,346.0,105.3,240.0,73.4,12.0,0.038,82.0,-7.96,332.0,2.53,90.0,97.5,339.0,105.5,292.0,Kentucky,4.0
,,167.0,205,Ohio,MAC,32,17,15,0.531,W2,8,10,0.444,12,5,4,8,1,2,0,2,0,0,0.0,0.0,2286,2192,71.4375,68.5,822,1837,0.447,272,781,0.348,370,537,0.6890000000000001,0.36,103.6,161.0,103.3,195.0,68.0,195.0,-0.01,212.0,-0.67,166.0,-1.18,219.0,102.2,173.0,102.9,167.0,Xavier,10.0
,,82.0,159,Akron,MAC,30,24,7,0.774,W3,14,4,0.778,15,2,8,4,1,1,0,1,0,0,0.0,0.0,2348,2062,75.74193548387096,66.51612903225806,764,1735,0.44,274,768,0.35700000000000004,479,622,0.77,9.54,108.5,66.0,98.9,103.0,69.4,110.0,0.022000000000000002,124.0,-1.21,180.0,-1.88,242.0,101.3,224.0,102.5,151.0,Akron,12.0
,,229.0,204,Miami (OH),MAC,31,13,19,0.406,W1,5,13,0.278,10,6,2,11,1,2,0,1,0,0,0.0,0.0,2269,2275,70.90625,71.09375,790,1853,0.426,261,765,0.341,362,493,0.7340000000000001,-4.99,102.0,188.0,107.0,276.0,67.1,243.0,-0.022000000000000002,243.0,-0.3,155.0,-3.35,282.0,102.4,158.0,102.7,158.0,Maryland,3.0
,,107.0,90,Bradley,MVC,34,23,11,0.6759999999999999,W3,11,7,0.611,15,2,4,8,4,1,0,1,0,0,0.0,0.0,2438,2240,71.70588235294117,65.88235294117646,872,1976,0.441,230,618,0.3720000000000001,464,630,0.737,6.09,106.8,92.0,100.7,134.0,67.1,244.0,0.036000000000000004,89.0,-0.51,161.0,-4.1,303.0,101.6,209.0,102.2,129.0,Bradley,13.0
,,41.0,7,Utah State,MWC,34,26,8,0.765,W3,12,6,0.667,15,1,4,6,7,1,1,2,0,0,0.0,0.0,2600,2179,76.47058823529412,64.08823529411765,905,1967,0.46,248,745,0.33299999999999996,542,710,0.763,14.92,109.5,49.0,94.6,48.0,67.4,229.0,0.034,94.0,3.09,100.0,1.55,124.0,105.0,81.0,101.9,122.0,Utah St.,10.0
6.0,6.0,6.0,66,San Diego State,MWC,32,30,2,0.938,L1,17,1,0.9440000000000001,14,1,11,0,5,1,0,0,0,0,0.0,0.0,2395,1903,74.84375,59.46875,852,1820,0.46799999999999997,291,765,0.38,400,519,0.7709999999999999,24.48,115.1,11.0,90.6,10.0,64.6,332.0,-0.008,204.0,2.98,101.0,-1.8,239.0,105.3,76.0,102.3,136.0,San Diego St.,2.0
,,207.0,165,Robert Morris,NEC,34,20,14,0.588,W4,13,5,0.722,12,3,7,11,1,0,0,0,0,0,0.0,0.0,2373,2280,69.79411764705883,67.05882352941177,874,1968,0.444,284,783,0.363,341,508,0.6709999999999999,-3.29,100.5,212.0,103.8,205.0,66.1,282.0,0.027000000000000003,110.0,-6.38,308.0,1.65,118.0,99.7,279.0,106.1,319.0,Robert Morris,16.0
,,109.0,13,Belmont,OVC,33,26,7,0.7879999999999999,W12,15,3,0.833,13,1,11,5,2,1,0,0,0,0,0.0,0.0,2627,2241,79.60606060606061,67.9090909090909,986,2074,0.475,320,908,0.35200000000000004,335,470,0.713,6.02,106.5,97.0,100.5,132.0,70.5,65.0,0.012,155.0,-7.08,324.0,-2.73,262.0,99.0,314.0,106.0,315.0,Belmont,15.0
,,19.0,81,Arizona,P12,32,21,11,0.6559999999999999,W1,10,8,0.556,13,4,4,6,4,1,1,4,0,0,0.0,0.0,2445,2090,76.40625,65.3125,850,1905,0.446,233,661,0.35200000000000004,512,699,0.732,19.6,111.0,35.0,91.4,14.0,69.3,115.0,-0.077,327.0,7.72,50.0,2.41,92.0,106.5,38.0,98.8,62.0,Arizona,9.0
13.0,13.0,17.0,47,Oregon,P12,31,24,7,0.774,W4,13,5,0.722,17,0,5,5,2,2,6,2,0,0,0.0,0.0,2352,2069,75.87096774193549,66.74193548387096,857,1825,0.47,269,680,0.396,369,527,0.7,20.0,117.1,6.0,97.1,76.0,65.0,319.0,0.023,120.0,8.15,42.0,4.11,54.0,105.6,62.0,97.4,30.0,Oregon,4.0
,,63.0,235,Arizona State,P12,31,20,11,0.645,W1,11,7,0.611,13,3,6,5,1,3,2,4,0,0,0.0,0.0,2288,2184,73.80645161290323,70.45161290322581,816,1904,0.429,227,703,0.32299999999999995,429,617,0.695,11.3,106.0,108.0,94.7,49.0,73.2,14.0,0.069,28.0,8.22,41.0,2.65,82.0,106.4,41.0,98.1,47.0,Arizona St.,8.0
,,35.0,184,Colorado,P12,32,21,11,0.6559999999999999,L5,10,8,0.556,13,3,4,7,4,1,2,2,0,0,0.0,0.0,2268,2057,70.875,64.28125,777,1778,0.4370000000000001,241,687,0.35100000000000003,473,643,0.736,15.71,109.1,54.0,93.4,32.0,68.2,188.0,-0.01,213.0,7.42,52.0,2.77,78.0,105.5,66.0,98.0,43.0,Colorado,9.0
,,43.0,241,Stanford,P12,32,20,12,0.625,L3,9,9,0.5,14,4,4,6,2,2,2,3,0,0,0.0,0.0,2223,2000,69.46875,62.5,810,1726,0.469,227,608,0.373,376,535,0.703,14.11,104.4,143.0,90.3,7.0,68.3,183.0,-0.08,330.0,4.97,79.0,-4.02,301.0,104.2,101.0,99.2,71.0,Stanford,11.0
,,55.0,152,USC,P12,31,22,9,0.71,W3,11,7,0.611,15,2,5,6,2,1,0,4,0,0,0.0,0.0,2179,2046,70.29032258064517,66.0,781,1780,0.439,200,571,0.35,417,630,0.662,12.35,104.3,145.0,92.0,18.0,68.9,139.0,0.083,15.0,6.32,69.0,-1.48,229.0,105.2,78.0,98.8,63.0,USC,7.0
,,78.0,238,UCLA,P12,31,19,12,0.613,L1,12,6,0.667,13,4,5,5,1,3,3,2,0,0,0.0,0.0,2153,2079,69.45161290322581,67.06451612903226,751,1732,0.434,186,576,0.32299999999999995,465,648,0.718,9.92,109.3,51.0,99.4,112.0,64.9,325.0,0.047,59.0,7.16,57.0,-0.73,202.0,105.5,67.0,98.3,49.0,UCLA,11.0
,,159.0,135,Boston Univ.,Pat,34,21,13,0.618,W4,12,6,0.667,12,3,9,8,0,2,0,0,0,0,0.0,0.0,2410,2269,70.88235294117645,66.73529411764707,919,1999,0.46,224,688,0.326,348,541,0.643,0.78,103.3,166.0,102.6,186.0,66.3,272.0,0.002,177.0,-4.98,264.0,0.04,180.0,100.6,245.0,105.6,300.0,Boston University,16.0
,,37.0,109,LSU,SEC,31,21,10,0.677,W1,12,6,0.667,15,2,5,7,1,1,0,3,0,0,0.0,0.0,2495,2271,80.48387096774194,73.25806451612904,886,1880,0.47100000000000003,211,645,0.327,512,666,0.769,15.62,118.1,4.0,102.4,179.0,70.0,84.0,-0.02,237.0,7.18,56.0,2.01,103.0,105.8,61.0,98.6,55.0,LSU,10.0
,,47.0,220,Arkansas,SEC,32,20,12,0.625,W1,7,11,0.389,14,4,5,8,1,0,0,2,0,0,0.0,0.0,2426,2228,75.8125,69.625,808,1825,0.44299999999999995,243,728,0.33399999999999996,567,776,0.731,13.59,109.1,55.0,95.5,57.0,71.2,45.0,-0.047,298.0,6.53,64.0,1.28,136.0,106.7,36.0,100.2,88.0,Florida,9.0
20.0,20.0,33.0,129,Auburn,SEC,31,25,6,0.8059999999999999,W1,12,6,0.667,16,1,5,5,4,0,2,1,0,0,0.0,0.0,2419,2182,78.03225806451613,70.38709677419354,808,1868,0.433,252,824,0.306,551,818,0.674,15.91,111.4,33.0,95.5,55.0,69.2,127.0,0.10300000000000001,7.0,6.7,62.0,1.38,133.0,107.0,32.0,100.3,90.0,Auburn,5.0
,,56.0,44,East Tennessee State,SC,34,30,4,0.882,W12,16,2,0.889,16,1,11,3,3,0,0,1,0,0,0.0,0.0,2593,2146,78.57575757575758,63.11764705882353,919,1936,0.475,260,752,0.34600000000000003,495,713,0.6940000000000001,12.23,108.2,69.0,96.0,65.0,66.1,281.0,0.067,33.0,-1.96,201.0,-0.64,199.0,103.0,129.0,105.0,273.0,ETSU,12.0
,,100.0,37,Stephen F. Austin,Slnd,31,28,3,0.903,W15,19,1,0.95,16,1,12,2,0,0,1,0,0,0,0.0,0.0,2499,2077,80.61290322580646,67.0,887,1806,0.491,179,494,0.36200000000000004,546,790,0.691,7.0,104.1,152.0,97.1,75.0,71.8,39.0,0.042,73.0,-8.13,338.0,0.55,162.0,98.6,325.0,106.7,337.0,Stephen F. Austin,12.0
