AP20_Rnk,AP20_Team,AP20_W,AP20_L,TeamID
1,Kansas,28,3,169
2,Gonzaga,31,2,1
3,Dayton,29,2,26
4,Florida State,26,5,193
5,Baylor,26,4,298
6,San Diego State,30,2,66
7,Creighton,24,7,38
8,Kentucky,25,6,190
9,Michigan State,22,9,78
10,Villanova,24,7,208
11,Duke,25,6,27
12,Maryland,24,7,194
13,Oregon,24,7,47
14,Louisville,24,7,134
15,Seton Hall,21,9,117
16,Virginia,23,7,349
17,Wisconsin,21,10,222
18,BYU,24,8,6
19,Ohio State,21,10,163
20,Auburn,25,6,129
21,Illinois,21,10,107
22,Houston,23,8,130
23,Butler,22,9,167
24,West Virginia,21,10,232
25,Iowa,20,11,50
