STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
Yale,11,3,.786,0,0,23,7,.767,2289,1954,L1,0.0,0.0,76.3,65.13333333333334,10,1,11,6,2,0,0,0
Harvard,10,4,.714,0,0,21,8,.724,2114,1928,W1,0.0,0.0,72.89655172413794,66.48275862068965,11,1,9,4,1,3,0,1
Princeton,9,5,.643,0,0,14,13,.519,1931,1866,L1,0.0,0.0,71.51851851851852,69.11111111111111,7,6,6,7,1,0,0,0
Penn,8,6,.571,0,0,16,11,.593,1991,1906,W3,0.0,0.0,73.74074074074075,70.5925925925926,8,3,6,7,2,1,0,2
Brown,8,6,.571,0,0,15,12,.556,1809,1854,W2,0.0,0.0,67.0,68.66666666666667,10,4,5,8,0,0,0,1
Dartmouth,5,9,.357,0,0,12,17,.414,1894,1872,L2,0.0,0.0,65.3103448275862,64.55172413793103,6,6,5,10,1,1,0,0
Cornell,4,10,.286,0,0,7,20,.259,1818,1912,W1,0.0,0.0,67.33333333333333,70.81481481481481,6,6,1,14,0,0,0,1
Columbia,1,13,.071,0,0,6,24,.200,1988,2181,L13,0.0,0.0,66.26666666666667,72.7,5,7,0,16,1,1,0,1
