STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
Dayton,18,0,1.000,0,0,29,2,.935,2480,2000,W20,0.0,0.0,80.0,64.51612903225806,17,0,9,0,3,2,0,1
"Richmond
RIC",14,4,.778,0,0,24,7,.774,2335,2070,W4,0.0,0.0,75.3225806451613,66.7741935483871,14,2,9,3,1,2,0,2
"Rhode Island
U",13,5,.722,0,0,21,9,.700,2200,2066,W1,0.0,0.0,73.33333333333333,68.86666666666666,12,3,8,5,1,1,0,3
"Saint Louis
SLU",12,6,.667,0,0,23,8,.742,2223,2020,W5,0.0,0.0,71.70967741935483,65.16129032258064,15,3,6,4,2,1,0,4
St Bonaventure,11,7,.611,0,0,19,12,.613,2143,2073,L1,0.0,0.0,69.12903225806451,66.87096774193549,9,5,7,7,3,0,0,1
"Duquesne
DU",11,7,.611,0,0,21,9,.700,2146,1993,L1,0.0,0.0,71.53333333333333,66.43333333333334,10,4,6,3,5,2,0,2
"Davidson
DAV",10,8,.556,0,0,16,14,.533,2182,2025,W1,0.0,0.0,72.73333333333333,67.5,11,1,4,9,1,4,0,2
Massachusetts,8,10,.444,0,0,14,17,.452,2124,2207,L1,0.0,0.0,68.51612903225806,71.19354838709677,11,5,3,9,0,3,0,3
"VCU
VCU",8,10,.444,0,0,18,13,.581,2193,2020,L2,0.0,0.0,70.74193548387096,65.16129032258064,14,4,4,7,0,2,1,3
G Washington,6,12,.333,0,0,12,20,.375,2086,2243,L6,0.0,0.0,65.1875,70.09375,7,9,3,9,2,2,0,1
La Salle,6,12,.333,0,0,15,15,.500,2040,2098,W1,0.0,0.0,68.0,69.93333333333334,8,7,4,8,3,0,0,2
"George Mason
GMU",5,13,.278,0,0,17,15,.531,2148,2168,W2,0.0,0.0,67.125,67.75,10,7,3,8,4,0,0,2
Fordham,2,16,.111,0,0,9,22,.290,1816,1913,W1,0.0,0.0,58.58064516129032,61.70967741935484,6,12,1,8,2,2,0,1
Saint Joseph's,2,16,.111,0,0,6,26,.188,2208,2543,L3,0.0,0.0,69.0,79.46875,4,10,2,12,0,4,0,2
