STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
"Liberty
LI",13,3,.813,0,0,30,4,.882,2332,1830,W3,0.0,0.0,68.58823529411765,53.8235294117647,17,0,7,4,6,0,0,0
"North Florida
UNF",13,3,.813,0,0,21,12,.636,2583,2416,L1,0.0,0.0,78.27272727272727,73.21212121212122,13,2,7,9,1,1,0,3
"Lipscomb
LI",9,7,.563,0,0,16,16,.500,2255,2261,L1,0.0,0.0,70.46875,70.65625,9,5,7,11,0,0,0,2
"Stetson
STET",9,7,.563,0,0,16,17,.485,2103,2167,L1,0.0,0.0,63.72727272727273,65.66666666666667,8,7,7,9,1,1,0,1
"North Alabama
UN",8,8,.500,0,0,13,17,.433,2062,2092,L1,0.0,0.0,68.73333333333333,69.73333333333333,9,4,4,13,0,0,0,1
"Jacksonville
JAC",7,9,.438,0,0,14,18,.438,2139,2133,L1,0.0,0.0,66.84375,66.65625,6,7,7,9,1,2,0,1
"FGCU
FGCU",7,9,.438,0,0,10,22,.313,1979,2122,L2,0.0,0.0,61.84375,66.3125,6,10,4,12,0,0,0,1
"NJIT
NJIT",6,10,.375,0,0,9,21,.300,1904,2030,L1,0.0,0.0,63.46666666666667,67.66666666666667,5,7,4,14,0,0,0,0
"Kennesaw State
KENN",0,16,.000,0,0,1,28,.034,1602,2181,L20,0.0,0.0,55.241379310344826,75.20689655172414,1,10,0,16,0,2,0,1
