STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
"UC Irvine
UC",13,3,.813,0,0,21,11,.656,2367,2087,L1,0.0,0.0,73.96875,65.21875,11,2,8,7,2,2,0,1
"UC Santa Barbara
UCS",10,6,.625,0,0,21,10,.677,2195,2054,W2,0.0,0.0,70.80645161290323,66.25806451612904,13,3,8,7,0,0,0,0
"CSUN
CSN",10,6,.625,0,0,15,17,.469,2435,2528,W4,0.0,0.0,76.09375,79.0,10,4,5,12,0,1,0,1
"UC Davis
UC",8,8,.500,0,0,14,18,.438,2330,2286,L2,0.0,0.0,72.8125,71.4375,8,4,5,12,1,2,0,0
Hawaii,8,8,.500,0,0,17,13,.567,2057,2016,L1,0.0,0.0,68.56666666666666,67.2,13,4,3,7,1,2,0,2
"UC Riverside
UC",7,9,.438,0,0,17,15,.531,2059,1939,W2,0.0,0.0,64.34375,60.59375,11,5,6,10,0,0,0,0
"CS Fullerton
CS",6,10,.375,0,0,11,20,.355,2127,2213,W1,0.0,0.0,68.61290322580645,71.38709677419355,6,8,4,11,1,1,0,0
"Long Beach State
LBSU",6,10,.375,0,0,11,21,.344,2157,2404,L1,0.0,0.0,67.40625,75.125,8,6,2,13,1,2,0,2
"Cal Poly
C",4,12,.250,0,0,7,23,.233,2027,2248,L7,0.0,0.0,67.56666666666666,74.93333333333334,7,6,0,15,0,2,0,2
