STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L
North Dakota St,13,3,.813,0,0,25,8,.758,2467,2183,W5,0.0,0.0,74.75757575757575,66.15151515151516,13,1,8,6,4,1,0,0
South Dakota St,13,3,.813,0,0,22,10,.688,2493,2256,L2,0.0,0.0,77.90625,70.5,16,0,6,9,0,1,0,1
South Dakota,10,6,.625,0,0,20,12,.625,2547,2374,L1,0.0,0.0,79.59375,74.1875,13,2,5,8,2,2,0,1
Oral Roberts,9,7,.563,0,0,17,14,.548,2485,2265,L1,0.0,0.0,80.16129032258064,73.06451612903226,13,1,3,12,1,1,0,0
Omaha,9,7,.563,0,0,16,16,.500,2352,2461,L2,0.0,0.0,73.5,76.90625,12,2,4,13,0,1,0,1
North Dakota,7,9,.438,0,0,15,18,.455,2470,2467,L1,0.0,0.0,74.84848484848484,74.75757575757575,8,3,4,13,3,2,0,1
"IPFW
PFW",6,10,.375,0,0,14,19,.424,2261,2320,L1,0.0,0.0,68.51515151515152,70.3030303030303,10,5,3,13,1,1,0,1
Denver,3,13,.188,0,0,7,24,.226,2135,2360,L1,0.0,0.0,68.87096774193549,76.12903225806451,6,8,0,14,1,2,0,1
"Western Illinois
WI",2,14,.125,0,0,5,21,.192,1934,2126,L11,0.0,0.0,74.38461538461539,81.76923076923077,4,10,1,11,0,0,0,0
